TABLE NO.  2
 NUM         EPRED       IPRED       NPDE        EWRES       DV          PRED        RES         WRES
  4.9000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  5.0000E+01  4.2283E+01  3.3617E+01  7.0630E-01  7.4140E-01  4.2049E+01  4.2362E+01 -3.1312E-01  6.0408E-01
  5.1000E+01  5.2698E+01  3.5096E+01 -4.9585E-01 -4.5895E-01  3.5571E+01  5.3879E+01 -1.8308E+01 -6.2603E-01
  5.2000E+01  5.7516E+01  3.4252E+01 -1.9322E+00 -1.4609E+00  2.4276E+01  5.9208E+01 -3.4932E+01 -1.5479E+00
  5.3000E+01  5.8791E+01  3.2830E+01  1.5097E-01 -1.1544E-01  3.9419E+01  6.0460E+01 -2.1041E+01 -1.5243E-01
  5.4000E+01  5.5635E+01  2.9902E+01 -2.7932E-01 -4.1560E-01  3.1899E+01  5.6622E+01 -2.4723E+01 -3.2268E-01
  5.5000E+01  5.0082E+01  2.7350E+01 -1.1423E+00 -1.0764E+00  2.1274E+01  5.0544E+01 -2.9270E+01 -9.4373E-01
  5.6000E+01  4.4775E+01  2.5242E+01 -1.0954E+00 -9.1915E-01  2.0547E+01  4.5033E+01 -2.4486E+01 -8.1666E-01
  5.7000E+01  3.9802E+01  2.3306E+01 -6.2293E-01 -6.4012E-01  2.0914E+01  4.0026E+01 -1.9112E+01 -5.9082E-01
  5.8000E+01  3.1098E+01  1.9711E+01 -1.3205E+00 -1.0543E+00  1.4613E+01  3.1398E+01 -1.6785E+01 -1.1134E+00
  5.9000E+01  2.2205E+01  1.5282E+01  7.4987E-01  7.7502E-01  1.9755E+01  2.2426E+01 -2.6714E+00  6.2524E-01
  6.0000E+01  1.4649E+01  1.0052E+01  2.7932E-01  3.6458E-02  1.0598E+01  1.4474E+01 -3.8762E+00  7.7629E-03
  6.5000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  6.6000E+01  3.6176E+01  3.1388E+01  1.2445E+00  1.1026E+00  3.9120E+01  3.6584E+01  2.5355E+00  1.0214E+00
  6.7000E+01  4.4711E+01  3.3929E+01 -4.0338E-01 -4.8256E-01  3.1283E+01  4.6094E+01 -1.4811E+01 -6.1428E-01
  6.8000E+01  4.9087E+01  3.3746E+01 -1.9893E+00 -1.7043E+00  2.0274E+01  5.0935E+01 -3.0661E+01 -1.7722E+00
  6.9000E+01  5.0470E+01  3.2670E+01 -6.6893E-02 -2.0231E-01  3.5498E+01  5.2264E+01 -1.6766E+01 -2.6744E-01
  7.0000E+01  4.7864E+01  2.9415E+01 -1.4279E+00 -1.3305E+00  2.1502E+01  4.8680E+01 -2.7178E+01 -1.2247E+00
  7.1000E+01  4.3723E+01  2.7066E+01 -4.9585E-01 -5.4554E-01  2.6832E+01  4.3886E+01 -1.7054E+01 -4.0853E-01
  7.2000E+01  3.9656E+01  2.5075E+01 -8.3652E-02 -1.5789E-01  2.7888E+01  3.9476E+01 -1.1588E+01 -1.1217E-02
  7.3000E+01  3.5959E+01  2.3329E+01 -2.9674E-01 -3.6239E-01  2.4229E+01  3.5628E+01 -1.1399E+01 -2.2264E-01
  7.4000E+01  2.9012E+01  1.9957E+01  2.1898E-01  2.7730E-01  2.4305E+01  2.8622E+01 -4.3174E+00  3.8143E-01
  7.5000E+01  2.0880E+01  1.5430E+01 -2.0189E-01 -2.5894E-01  1.5982E+01  2.0500E+01 -4.5177E+00 -2.2632E-01
